time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2022-02-14 10:08:14.255 UTC, ,125,3163653,1496,17688,112, ,5, ,31,3,0.10, , , , , , , ,4,5, ,2, ,3,2,7, ,24,9, , , , , , , , , , , , , ,12868,2, ,10539, , , , , , ,-1,-1, , , , , ,3,112, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1644833294094, , , , ,3145728,4294967581, , ,17,5,1,9,1,6,1, , ,3,2, , , ,17,1,6326,5,128,2, , ,127304,30,175,1, , , , , , ,29,117,68672456,-1, , , , , , ,22, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2022-02-14 10:09:14.260 UTC, ,125,3176125,1600,30160,112, ,5, ,51,1,0.02, , , , , , , ,5,5, , , ,3,1,8, ,23,23, , , , , , , , , , , , , ,12868,2, ,10539, , , , ,14610,184979263488,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14610, ,1644833294094, , , , ,3145728,4294968963, , ,25,35,3,43,3,2,3, , ,3,4, , , ,25,1,2222,2,467,1, , ,11820,25,927,2, , , , , , ,60,131,129988408,-1, , , , , , ,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , ,38,3,3, , , , , , 
2022-02-14 10:10:07.360 UTC, ,125,3176013,1600,30160, , ,5, , , , , , , , , , , ,5,5, , , ,3,1,8, , , , , , , , , , , , , , , , ,12868,2, ,10539, , , , ,14610,184978673664,60,60, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14610, ,1644833294094, , , , ,3145728,4294968963, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,9,20,272653592,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:10:47.145 UTC, ,250,3163618,1704,17528,112, ,4,1,36,4,0.11, , , , , , , ,4,4, ,3,1,4,1,7, ,30,12, , , , , , , , , , , , , ,4294970511,3, ,4294969104, , , , , , ,-1,-1, , , , , ,1,32, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1644833447036, ,1, , ,3145728,4294970511, , ,23,0, , , ,4, , , ,3, , , , ,23,1,6308,6, , , , ,106962,31, , , , , , , , ,23,99,124815824,-1, , , , , , ,25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , 
2022-02-14 10:11:47.154 UTC, ,250,3176226,1704,30136,112, ,5,1,31,1,0.03, , , , , , , ,5,5, , ,1,5,1,8, ,25,25, , , , , , , , , , , , , ,4294970511,3, ,4294969104, , , , ,16182,184978391040,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16182, ,1644833447036, , , , ,3145728,4294970511, , ,28,0, , , ,1, , , ,3, , , , ,28,2,4594,4, , , , ,10085,25, , , , , , , , ,11,54,76765744,-1, , , , , , ,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, , , , , , , , 
2022-02-14 10:12:47.166 UTC, ,250,3177274,1704,31184,112, ,5, ,2, , , , , , , , , ,5,5, , , ,5,1,8, ,2,2, , , , , , , , , , , , , ,4294970511,3, ,4294969104, , , , ,16182,184981151744,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16182, ,1644833447036, , , , ,3145728,4294970511, , ,2,0, , , , , , , ,3, , , , ,2,2,688,2, , , , , , , , , , , , , , ,30,76,95383616,-1, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , 
2022-02-14 10:13:47.175 UTC, ,250,3177274,1704,31184,112, ,5, , , , , , , , , , , ,5,5, , , ,5,1,8, , , , , , , , , , , , , , , , ,4294970511,3, ,4294969104, , , , ,16182,184980938752,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16182, ,1644833447036, , , , ,3145728,4294970511, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , ,5,10,136286976,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:14:47.178 UTC, ,250,3177274,1704,31184,112, ,5, , , , , , , , , , , ,5,5, , , ,5,1,8, , , , , , , , , , , , , , , , ,4294970511,3, ,4294969104, , , , ,16182,184980619264,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16182, ,1644833447036, , , , ,3145728,4294970511, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,138384128,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:15:47.197 UTC, ,250,3177274,1704,31184,112, ,5, , , , , , , , , , , ,5,5, , , ,5,1,8, , , , , , , , , , , , , , , , ,4294970511,3, ,4294969104, , , , ,16182,184975912960,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16182, ,1644833447036, , , , ,3145728,4294970511, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,140481280,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-02-14 10:16:47.200 UTC, ,250,3177274,1704,31184,112, ,5, , , , , , , , , , , ,5,5, , , ,5,1,8, , , , , , , , , , , , , , , , ,4294970511,3, ,4294969104, , , , ,16182,184974794752,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16182, ,1644833447036, , , , ,3145728,4294970511, , , ,0, , , , , , , ,3, , , , , ,2, , , , , , , , , , , , , , , , , , ,142578432,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
